,Date,death_cases
290,2021-02-04,5
291,2021-02-05,5
292,2021-02-06,3
293,2021-02-07,2
294,2021-02-08,3
295,2021-02-09,4
296,2021-02-10,3
297,2021-02-11,3
298,2021-02-12,1
299,2021-02-13,3
300,2021-02-14,6
301,2021-02-15,4
302,2021-02-16,1
303,2021-02-17,5
304,2021-02-18,7
305,2021-02-19,2
306,2021-02-20,2
307,2021-02-21,5
308,2021-02-22,3
309,2021-02-23,5
310,2021-02-24,5
311,2021-02-25,1
312,2021-02-26,7
313,2021-02-27,4
314,2021-02-28,9
315,2021-03-01,5
316,2021-03-02,13
317,2021-03-03,14
318,2021-03-04,15
319,2021-03-05,9
320,2021-03-06,7
321,2021-03-07,10
322,2021-03-08,10
323,2021-03-09,9
324,2021-03-10,15
325,2021-03-11,17
326,2021-03-12,12
327,2021-03-13,12
328,2021-03-14,14
329,2021-03-15,26
330,2021-03-16,25
331,2021-03-17,10
332,2021-03-18,26
333,2021-03-19,24
334,2021-03-20,20
335,2021-03-21,27
336,2021-03-22,36
337,2021-03-23,30
338,2021-03-24,20
339,2021-03-25,42
340,2021-03-26,22
341,2021-03-27,24
342,2021-03-28,33
343,2021-03-29,41
344,2021-03-30,27
345,2021-03-31,36
346,2021-04-01,30
347,2021-04-02,36
348,2021-04-03,18
349,2021-04-04,31
350,2021-04-05,19
351,2021-04-06,37
352,2021-04-07,25
353,2021-04-08,39
354,2021-04-09,15
355,2021-04-10,23
356,2021-04-11,13
357,2021-04-12,29
358,2021-04-13,20
359,2021-04-14,34
360,2021-04-15,19
361,2021-04-16,37
362,2021-04-17,14
363,2021-04-18,6
364,2021-04-19,16
365,2021-04-20,17
366,2021-04-21,26
367,2021-04-22,18
368,2021-04-23,12
369,2021-04-24,14
370,2021-04-25,6
371,2021-04-26,17
372,2021-04-27,18
373,2021-04-28,10
374,2021-04-29,13
375,2021-04-30,19
376,2021-05-01,7
377,2021-05-02,3
378,2021-05-03,12
379,2021-05-04,13
380,2021-05-05,13
381,2021-05-06,12
382,2021-05-07,10
383,2021-05-08,6
384,2021-05-09,6
385,2021-05-10,12
386,2021-05-11,9
